n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
1,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
2,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
3,0.9979,44.56571,0.99952,60.0,0.99957,0.99544,0.99972,0.99986,0.99994,100.0,0.01,0.01,0.01,0.01,67.98,67.6,67.06,68.36,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
4,0.99453,44.56571,0.99857,60.0,0.99868,0.98815,0.99912,0.99955,0.99977,100.0,0.03,0.03,0.04,0.03,63.18,62.86,62.38,63.49,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
5,0.99666,45.46544,0.9961,60.0,0.99627,0.98421,0.99905,0.99957,0.99977,100.0,0.05,0.06,0.06,0.05,61.09,60.7,60.21,61.44,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
6,0.9991,0.19263,0.99404,60.0,0.99426,0.98624,0.99939,0.99973,0.99984,100.0,0.04,0.05,0.05,0.04,61.76,61.42,61.18,62.01,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
7,0.99889,0.19263,0.99405,60.0,0.99427,0.98581,0.99935,0.99973,0.99986,100.0,0.05,0.05,0.05,0.04,61.46,61.3,60.83,61.68,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
8,0.99918,0.34033,0.99405,60.0,0.99427,0.98688,0.99947,0.99977,0.99988,100.0,0.04,0.04,0.04,0.04,62.2,61.97,61.68,62.4,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
9,0.99894,0.08989,0.99405,60.0,0.99427,0.9863,0.99939,0.99973,0.99985,100.0,0.04,0.05,0.05,0.04,61.68,61.47,61.1,61.89,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
10,0.99912,0.08989,0.99404,60.0,0.99426,0.9866,0.9994,0.99974,0.99986,100.0,0.04,0.04,0.05,0.04,61.96,61.75,61.38,62.18,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
