n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
931,0.98624,3.54478,0.99751,43.64858,0.99966,0.7913,0.98263,0.99191,0.99557,99.11123,2.6,2.52,1.83,2.81,43.99,44.11,45.51,43.65,0.985,0.977,0.98,0.988,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
932,0.98471,3.54478,0.99728,43.13887,0.9996,0.77897,0.97927,0.99018,0.99453,98.71979,2.89,2.78,1.91,3.16,43.53,43.68,45.32,43.14,0.984,0.975,0.979,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
933,0.99184,3.55405,0.99799,44.95542,0.99979,0.81932,0.98931,0.99552,0.99774,100.0,1.9,1.67,1.44,2.08,45.33,45.9,46.53,44.96,0.987,0.983,0.983,0.99,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
934,0.98402,3.55405,0.99718,43.00353,0.99959,0.77537,0.97816,0.98962,0.99432,98.57231,2.97,2.86,1.91,3.26,43.41,43.57,45.31,43.0,0.983,0.975,0.979,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
935,0.98552,3.56408,0.99738,43.42269,0.99964,0.78513,0.98149,0.9914,0.9953,98.9594,2.73,2.66,1.89,2.96,43.77,43.88,45.37,43.42,0.984,0.976,0.98,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
936,0.98401,3.56408,0.99707,42.86912,0.99955,0.77047,0.9772,0.9891,0.99386,98.52993,3.08,3.02,2.04,3.36,43.24,43.34,45.03,42.87,0.983,0.973,0.978,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
937,0.98995,3.57747,0.99762,44.20865,0.99972,0.79927,0.98597,0.99384,0.99673,99.91998,2.25,2.01,1.63,2.47,44.61,45.11,46.01,44.21,0.986,0.98,0.981,0.988,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
938,0.98362,3.57747,0.99705,42.85933,0.99956,0.77009,0.97714,0.98911,0.99394,98.47313,3.11,3.12,2.06,3.37,43.21,43.2,44.99,42.86,0.983,0.972,0.978,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
939,0.9852,3.5867,0.99727,43.28809,0.99961,0.77989,0.98038,0.99079,0.99494,98.87239,2.82,2.78,1.97,3.05,43.62,43.68,45.2,43.29,0.983,0.975,0.979,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
940,0.98371,3.5867,0.99703,42.79595,0.99955,0.7679,0.97705,0.98915,0.99405,98.5027,3.13,3.07,2.06,3.42,43.17,43.27,44.98,42.8,0.982,0.973,0.978,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
941,0.99025,3.59831,0.99766,44.28965,0.99973,0.80098,0.9865,0.99419,0.99699,100.0,2.22,1.99,1.63,2.42,44.67,45.14,46.01,44.29,0.986,0.98,0.981,0.988,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
942,0.98354,3.59831,0.99706,42.89742,0.99957,0.76965,0.97736,0.98931,0.9941,98.48713,3.08,3.08,2.07,3.34,43.24,43.24,44.98,42.9,0.982,0.972,0.978,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
943,0.9854,3.61316,0.99725,43.29659,0.99961,0.77883,0.98058,0.99104,0.99511,98.93816,2.83,2.82,2.0,3.04,43.61,43.62,45.13,43.3,0.983,0.974,0.978,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
944,0.98373,3.61316,0.99699,42.80912,0.99955,0.76641,0.977,0.98922,0.99404,98.52077,3.15,3.15,2.12,3.41,43.15,43.15,44.87,42.81,0.982,0.972,0.977,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
945,0.9894,3.62555,0.99749,43.9562,0.9997,0.79155,0.98497,0.99349,0.99663,99.82599,2.39,2.16,1.74,2.61,44.34,44.78,45.73,43.96,0.985,0.979,0.98,0.988,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
946,0.98347,3.62555,0.99695,42.76548,0.99955,0.76481,0.97643,0.9889,0.99392,98.46502,3.19,3.23,2.16,3.44,43.09,43.03,44.79,42.77,0.982,0.971,0.977,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
947,0.98512,3.63604,0.99713,43.14712,0.99959,0.77347,0.97971,0.99074,0.99499,98.88396,2.94,2.96,2.08,3.15,43.45,43.42,44.95,43.15,0.983,0.973,0.977,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
948,0.98351,3.63604,0.99688,42.67427,0.99953,0.76153,0.9761,0.98884,0.99391,98.47588,3.26,3.31,2.22,3.51,42.99,42.93,44.68,42.67,0.981,0.97,0.976,0.986,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
949,0.98854,3.6482,0.99731,43.63075,0.99967,0.78216,0.98341,0.99285,0.99637,99.64383,2.58,2.37,1.83,2.82,44.01,44.38,45.5,43.63,0.984,0.977,0.979,0.987,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
950,0.98286,3.6482,0.99678,42.56208,0.99952,0.75704,0.97513,0.98842,0.99365,98.33831,3.34,3.41,2.24,3.6,42.89,42.81,44.62,42.56,0.981,0.969,0.976,0.985,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
951,0.9843,3.65773,0.99686,42.84099,0.99954,0.76215,0.97737,0.9897,0.99442,98.68268,3.15,3.16,2.21,3.38,43.15,43.14,44.69,42.84,0.981,0.971,0.976,0.985,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
952,0.98217,3.65773,0.99659,42.35052,0.99947,0.74957,0.97358,0.98777,0.99326,98.1792,3.53,3.63,2.4,3.78,42.65,42.53,44.32,42.35,0.98,0.967,0.974,0.985,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
953,0.98516,3.66871,0.99662,42.58097,0.99952,0.75174,0.97647,0.98957,0.99465,98.8478,3.25,3.01,2.13,3.59,43.01,43.35,44.86,42.58,0.981,0.972,0.976,0.984,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
954,0.98362,3.66871,0.99641,42.32774,0.99947,0.74418,0.97368,0.98812,0.9937,98.47706,3.47,3.31,2.29,3.8,42.73,42.93,44.54,42.33,0.98,0.969,0.975,0.984,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
